s n m tiempo
1 10 75 166.70000000
1 10 76 169.20000000
1 10 77 160.70000000
1 10 78 184.00000000
1 10 79 185.70000000
1 10 80 165.10000000
1 10 81 168.10000000
1 10 82 182.50000000
1 10 83 160.40000000
1 10 84 197.70000000
1 10 85 160.90000000
1 10 86 181.00000000
1 10 87 165.40000000
1 10 88 216.40000000
1 10 89 213.80000000
1 10 90 295.70000000
1 10 91 195.50000000
1 10 92 204.40000000
1 10 93 193.80000000
1 10 94 212.50000000
1 10 95 212.00000000
1 10 96 242.20000000
1 10 97 279.20000000
1 10 98 196.70000000
1 10 99 225.30000000
1 10 100 185.70000000
1 11 1 175.70000000
1 11 2 135.20000000
1 11 3 137.00000000
1 11 4 139.20000000
1 11 5 148.80000000
1 11 6 127.50000000
1 11 7 152.50000000
1 11 8 136.60000000
1 11 9 186.80000000
1 11 10 132.50000000
1 11 11 150.70000000
1 11 12 142.40000000
1 11 13 141.90000000
1 11 14 136.80000000
1 11 15 141.60000000
1 11 16 138.40000000
1 11 17 144.30000000
1 11 18 163.20000000
1 11 19 138.00000000
1 11 20 138.50000000
1 11 21 137.10000000
1 11 22 138.00000000
1 11 23 165.30000000
1 11 24 160.40000000
1 11 25 161.00000000
1 11 26 136.10000000
1 11 27 137.20000000
1 11 28 131.70000000
1 11 29 132.00000000
1 11 30 134.20000000
1 11 31 140.90000000
1 11 32 144.00000000
1 11 33 150.80000000
1 11 34 216.90000000
1 11 35 213.10000000
1 11 36 173.60000000
1 11 37 165.90000000
1 11 38 213.30000000
1 11 39 186.40000000
1 11 40 154.50000000
1 11 41 181.60000000
1 11 42 168.50000000
1 11 43 140.10000000
1 11 44 183.70000000
1 11 45 269.30000000
1 11 46 222.00000000
1 11 47 182.70000000
1 11 48 136.80000000
1 11 49 164.60000000
1 11 50 273.90000000
1 11 51 141.90000000
1 11 52 270.50000000
1 11 53 283.90000000
1 11 54 201.20000000
1 11 55 186.70000000
1 11 56 174.00000000
1 11 57 187.50000000
1 11 58 180.80000000
1 11 59 192.00000000
1 11 60 198.20000000
1 11 61 178.90000000
1 11 62 256.40000000
1 11 63 212.80000000
1 11 64 229.20000000
1 11 65 183.60000000
1 11 66 181.80000000
1 11 67 183.70000000
1 11 68 204.40000000
1 11 69 202.50000000
1 11 70 187.00000000
1 11 71 170.70000000
1 11 72 235.90000000
1 11 73 198.30000000
1 11 74 214.20000000
1 11 75 239.70000000
1 11 76 205.60000000
1 11 77 214.30000000
1 11 78 209.20000000
1 11 79 232.80000000
1 11 80 216.80000000
1 11 81 245.20000000
1 11 82 254.60000000
1 11 83 210.60000000
1 11 84 198.70000000
1 11 85 243.70000000
1 11 86 229.80000000
1 11 87 201.50000000
1 11 88 221.60000000
1 11 89 284.00000000
1 11 90 216.10000000
1 11 91 299.40000000
1 11 92 206.50000000
1 11 93 193.00000000
1 11 94 231.90000000
1 11 95 201.10000000
1 11 96 195.50000000
1 11 97 213.30000000
1 11 98 187.90000000
1 11 99 207.70000000
1 11 100 214.90000000
