n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
30 17 27 9244600.00000000 459 13770 20140.74074074 671.35802469
30 6 4 3448100.00000000 24 720 143670.83333333 4789.02777778
30 20 19 7889000.00000000 380 11400 20760.52631579 692.01754386
30 12 11 4249000.00000000 132 3960 32189.39393939 1072.97979798
30 1 11 3073600.00000000 11 330 279418.18181818 9313.93939394
30 25 22 10088900.00000000 550 16500 18343.45454545 611.44848485
30 18 24 7869100.00000000 432 12960 18215.50925926 607.18364198
30 14 9 5444600.00000000 126 3780 43211.11111111 1440.37037037
30 24 13 6961500.00000000 312 9360 22312.50000000 743.75000000
30 6 5 3384700.00000000 30 900 112823.33333333 3760.77777778
31 20 29 9690700.00000000 580 17980 16708.10344828 538.97107898
31 14 1 3648200.00000000 14 434 260585.71428571 8405.99078341
31 28 31 13073700.00000000 868 26908 15061.86635945 485.86665676
31 25 30 12936100.00000000 750 23250 17248.13333333 556.39139785
31 18 1 2926900.00000000 18 558 162605.55555556 5245.34050179
31 11 27 6007400.00000000 297 9207 20226.93602694 652.48180732
31 30 10 7875900.00000000 300 9300 26253.00000000 846.87096774
31 21 23 8615800.00000000 483 14973 17838.09523810 575.42242704
31 30 4 4497100.00000000 120 3720 37475.83333333 1208.89784946
31 17 15 6507900.00000000 255 7905 25521.17647059 823.26375712
32 28 20 11021500.00000000 560 17920 19681.25000000 615.03906250
32 17 29 8612700.00000000 493 15776 17469.97971602 545.93686613
32 23 2 3675100.00000000 46 1472 79893.47826087 2496.67119565
32 28 3 4235100.00000000 84 2688 50417.85714286 1575.55803571
32 4 18 3634100.00000000 72 2304 50473.61111111 1577.30034722
32 32 12 7911100.00000000 384 12288 20601.82291667 643.80696615
32 23 16 7695100.00000000 368 11776 20910.59782609 653.45618207
32 17 32 8630100.00000000 544 17408 15864.15441176 495.75482537
32 23 30 10976300.00000000 690 22080 15907.68115942 497.11503623
32 28 22 10473700.00000000 616 19712 17002.75974026 531.33624188
33 8 22 4864500.00000000 176 5808 27639.20454545 837.55165289
33 24 13 6662500.00000000 312 10296 21354.16666667 647.09595960
