n km kb millisegundos
87 81 47 52.60000000
87 86 47 57.50000000
87 67 36 32.60000000
88 1 53 4.50000000
88 74 63 65.40000000
88 43 17 12.00000000
88 37 39 19.40000000
88 14 44 10.80000000
88 13 25 7.70000000
88 85 33 39.70000000
88 69 39 37.40000000
88 14 78 18.30000000
88 14 43 10.80000000
89 63 80 72.10000000
89 48 23 17.20000000
89 43 70 41.20000000
89 39 46 24.90000000
89 82 41 47.20000000
89 49 36 25.80000000
89 61 60 52.00000000
89 7 69 10.00000000
89 48 5 6.60000000
89 23 41 15.80000000
90 74 79 84.80000000
90 83 36 42.80000000
90 47 83 54.00000000
90 8 54 9.30000000
90 9 81 14.90000000
90 88 85 110.40000000
90 36 47 23.30000000
90 32 42 18.20000000
90 14 8 4.30000000
90 24 19 8.50000000
91 69 21 23.30000000
91 65 47 44.20000000
91 32 5 5.60000000
91 81 15 19.90000000
91 37 62 32.60000000
91 37 4 5.50000000
91 24 65 23.00000000
91 87 86 112.00000000
91 91 14 21.90000000
91 82 41 46.50000000
92 85 80 101.60000000
92 76 46 48.90000000
92 27 49 21.30000000
92 40 30 17.60000000
92 45 6 7.50000000
92 78 31 35.70000000
92 83 11 16.80000000
92 1 2 3.40000000
92 79 68 78.10000000
92 7 76 12.00000000
93 48 30 22.00000000
93 69 65 62.50000000
93 82 28 34.00000000
93 29 40 16.70000000
93 87 28 35.90000000
93 56 80 63.50000000
93 68 88 89.70000000
93 33 93 47.80000000
93 65 13 15.10000000
93 34 11 8.80000000
94 85 47 57.30000000
94 94 66 92.40000000
94 61 33 28.80000000
94 34 48 24.30000000
94 50 89 63.60000000
94 10 17 6.20000000
94 37 12 10.00000000
94 89 59 76.20000000
94 29 55 22.60000000
94 82 32 39.20000000
95 53 66 50.70000000
95 44 24 18.30000000
95 24 24 10.10000000
95 30 36 18.70000000
95 47 1 4.90000000
95 22 60 23.60000000
95 50 80 59.60000000
95 15 31 8.50000000
95 13 38 9.80000000
95 68 5 8.90000000
96 51 12 12.90000000
96 35 52 26.20000000
96 74 14 17.80000000
96 47 19 14.70000000
96 5 59 7.70000000
96 95 61 87.60000000
96 64 36 34.80000000
96 60 5 8.20000000
96 78 23 27.90000000
96 64 30 29.50000000
97 3 11 4.10000000
97 44 36 23.80000000
97 59 64 52.90000000
97 92 67 92.80000000
97 66 63 59.90000000
97 4 20 4.30000000
97 97 54 78.10000000
97 72 54 57.00000000
97 57 22 20.90000000
97 89 27 37.40000000
98 16 40 13.40000000
98 23 47 20.10000000
98 61 2 6.40000000
98 59 95 83.40000000
98 29 24 12.10000000
98 77 57 64.40000000
98 57 59 48.80000000
98 70 11 14.80000000
98 61 70 63.00000000
98 64 30 27.60000000
99 70 51 51.30000000
99 87 63 83.60000000
99 81 83 105.70000000
99 76 69 77.30000000
99 58 52 44.20000000
99 64 43 40.20000000
99 27 96 39.70000000
99 83 42 49.80000000
99 94 37 50.80000000
99 33 22 12.10000000
100 99 46 67.80000000
100 75 60 65.50000000
100 11 38 9.10000000
100 29 97 42.80000000
100 87 38 48.80000000
100 49 59 42.10000000
100 49 69 47.80000000
100 75 64 70.40000000
100 73 80 87.90000000
100 95 30 44.20000000
